trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.9, 'e': 0.9175942312201509}",25,2,-112.22085442965971,"{0: 15, 1: 2, 2: 2, 3: 3, 4: 1}",1
43,False,"{'a': 0.9, 'e': 0.9157608767233256}",20,0,-123.84448480479848,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",1
44,False,"{'a': 0.9, 'e': 0.9139311852712282}",20,0,-159.92976372639657,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
45,False,"{'a': 0.9, 'e': 0.9121051495450904}",25,0,-89.42362755770195,"{0: 13, 1: 2, 2: 10, 3: 0, 4: 0}",0
46,False,"{'a': 0.9, 'e': 0.910282762240767}",20,0,-81.15359383786416,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
47,False,"{'a': 0.9, 'e': 0.9084640160687062}",25,0,-119.1057143110044,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
48,False,"{'a': 0.9, 'e': 0.9066489037539209}",25,0,-172.33147924593874,"{0: 13, 1: 0, 2: 9, 3: 1, 4: 2}",0
49,False,"{'a': 0.9, 'e': 0.9048374180359595}",20,12,-23.931854659493677,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
50,False,"{'a': 0.9, 'e': 0.9030295516688768}",20,0,-188.46300067639206,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
51,False,"{'a': 0.9, 'e': 0.9012252974212047}",20,0,-34.164354207638894,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
52,False,"{'a': 0.9, 'e': 0.899424648075924}",20,0,-64.30673899478127,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
53,False,"{'a': 0.9, 'e': 0.8976275964304349}",20,0,-45.54745110589282,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
54,False,"{'a': 0.9, 'e': 0.8958341352965282}",30,0,-36.39636893524153,"{0: 24, 1: 3, 2: 1, 3: 2, 4: 0}",0
55,False,"{'a': 0.9, 'e': 0.8940442575003572}",20,0,-140.95339282400357,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
56,False,"{'a': 0.9, 'e': 0.8922579558824083}",25,0,-52.09047605583251,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
57,False,"{'a': 0.9, 'e': 0.8904752232974726}",25,0,-17.248066299079643,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
58,False,"{'a': 0.9, 'e': 0.8886960526146174}",25,0,-92.42388504130258,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
59,False,"{'a': 0.9, 'e': 0.8869204367171575}",30,0,-105.83961240453591,"{0: 24, 1: 0, 2: 2, 3: 2, 4: 2}",0
60,False,"{'a': 0.9, 'e': 0.8851483685026271}",25,0,-148.46125460383027,"{0: 12, 1: 1, 2: 10, 3: 1, 4: 1}",0
61,False,"{'a': 0.9, 'e': 0.8833798408827509}",20,0,-143.84961737523875,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
62,False,"{'a': 0.9, 'e': 0.8816148467834161}",25,0,-121.56409543599506,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
63,False,"{'a': 0.9, 'e': 0.8798533791446438}",20,0,-63.50627010681304,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
64,False,"{'a': 0.9, 'e': 0.8780954309205613}",25,0,-77.76674851682621,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
65,False,"{'a': 0.9, 'e': 0.8763409950793732}",30,15,-31.907050640149016,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 0}",1
