trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.7, 'e': 0.9175942312201509}",25,0,-116.39074417821833,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
43,False,"{'a': 0.7, 'e': 0.9157608767233256}",25,0,-199.03328678631598,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 4}",0
44,False,"{'a': 0.7, 'e': 0.9139311852712282}",30,0,-126.4124222872863,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.7, 'e': 0.9121051495450904}",25,0,-85.45108336393625,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
46,False,"{'a': 0.7, 'e': 0.910282762240767}",25,4,-32.22379125101125,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
47,False,"{'a': 0.7, 'e': 0.9084640160687062}",20,6,-25.556393516638348,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
48,False,"{'a': 0.7, 'e': 0.9066489037539209}",20,0,-61.35196170455611,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
49,False,"{'a': 0.7, 'e': 0.9048374180359595}",20,0,-63.833580153658154,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
50,False,"{'a': 0.7, 'e': 0.9030295516688768}",30,5,-70.78723883132237,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",1
51,False,"{'a': 0.7, 'e': 0.9012252974212047}",25,0,-210.14067785867505,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
52,False,"{'a': 0.7, 'e': 0.899424648075924}",20,0,-139.86717642731168,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
53,False,"{'a': 0.7, 'e': 0.8976275964304349}",30,0,-44.48691091546978,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
54,False,"{'a': 0.7, 'e': 0.8958341352965282}",20,0,-10.717919152918746,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
55,False,"{'a': 0.7, 'e': 0.8940442575003572}",20,0,-165.22455842284518,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
56,False,"{'a': 0.7, 'e': 0.8922579558824083}",35,0,-245.11650104569316,"{0: 20, 1: 2, 2: 8, 3: 1, 4: 4}",0
57,False,"{'a': 0.7, 'e': 0.8904752232974726}",20,0,-142.11629180351386,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
58,False,"{'a': 0.7, 'e': 0.8886960526146174}",30,0,-215.99112266780065,"{0: 18, 1: 4, 2: 2, 3: 2, 4: 4}",0
59,False,"{'a': 0.7, 'e': 0.8869204367171575}",30,0,-101.52533996830854,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
60,False,"{'a': 0.7, 'e': 0.8851483685026271}",20,0,-95.83269223970255,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
61,False,"{'a': 0.7, 'e': 0.8833798408827509}",20,3,-140.28730074020356,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 3}",1
62,False,"{'a': 0.7, 'e': 0.8816148467834161}",30,0,-120.23996537950988,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
63,False,"{'a': 0.7, 'e': 0.8798533791446438}",20,0,-163.89292499140882,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
64,False,"{'a': 0.7, 'e': 0.8780954309205613}",25,0,-54.72255784378016,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
65,False,"{'a': 0.7, 'e': 0.8763409950793732}",20,0,-154.7256608286209,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
66,False,"{'a': 0.7, 'e': 0.874590064603334}",25,0,-117.07101326176347,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
67,False,"{'a': 0.7, 'e': 0.8728426324887193}",30,0,-146.1726578404622,"{0: 14, 1: 6, 2: 9, 3: 0, 4: 1}",0
68,False,"{'a': 0.7, 'e': 0.8710986917457983}",25,0,-144.20458552721723,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
69,False,"{'a': 0.7, 'e': 0.8693582353988059}",20,10,-26.032478845100382,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
70,False,"{'a': 0.7, 'e': 0.867621256485914}",25,0,-116.6625281809582,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
71,False,"{'a': 0.7, 'e': 0.865887748059205}",30,0,-120.13452494771248,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
72,False,"{'a': 0.7, 'e': 0.8641577031846428}",20,0,-97.05373743006759,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
73,False,"{'a': 0.7, 'e': 0.8624311149420455}",20,0,-62.26845192547886,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
74,False,"{'a': 0.7, 'e': 0.8607079764250578}",20,0,-194.6329345564677,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
75,False,"{'a': 0.7, 'e': 0.8589882807411234}",20,0,-124.2075506542367,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
